COMID,lat,lon,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_14,frac_15,frac_16,frac_17,frac_18,frac_19
71028189,51.1714664760089,-115.518351869505,0.579436361789703,0.00610600737854838,0,0,0.0326603166759014,0.0264619570225477,0,0.000793919316492975,0.174537315964699,0.0690040662884712,0.110523700714111,0.000476351589895785
71028215,51.0216108617225,-114.759655280203,0.412010699510574,0,0.000145188445458189,0.00620458787307143,0.452416062355042,0.0698860287666321,0,0.0022377073764801,0.0377717949450016,0.0184090323746204,0.000918878067750484,0
71028221,51.1322412795504,-115.524601449276,0.646836698055267,0.00747342174872756,0,0,0.00032819266198203,0.0214658509939909,0,0,0.28687110543251,0.0112804882228374,0.0257442407310009,0
71028249,51.0644108993648,-115.041244567034,0.540491938591003,0,0,0,0.203356966376305,0.128283739089966,0.000166682904819027,0.00332347769290209,0.00338774011470377,0.0771813094615936,0.0438080802559853,0
71028304,51.0144154423571,-115.068604788857,0.559096097946167,0,0,0,0.129262983798981,0.105411060154438,0,0,0.119752064347267,0.0212528444826603,0.0652249678969383,0
71028311,51.0022606360281,-115.48497002283,0.527123391628265,0.000254951126407832,0,0,0.0265422686934471,0.154118150472641,0,0,0.285931050777435,0.000132219473016448,0.00517011154443026,0.00072790973354131
71028377,51.0153830406432,-114.919835309618,0.646394491195679,0,7.47526282793842e-05,0.000465179909951985,0.163893491029739,0.124229848384857,5.81409294682089e-05,0.000340539729222655,0.0445649996399879,0.0182342622429132,0.00174422794952989,0
71028380,50.9890313563441,-114.860769526819,0.740139186382294,0,0,0.000100823825050611,0.124958515167236,0.0982614159584045,0.000100823825050611,0,0.0212715175002813,0.0148854423314333,0.00028230671887286,0
71028585,51.1675923520923,-115.573618326118,0.502606511116028,0,0,0,0.0398912690579891,0.0107839023694396,0,0,0.0164547879248857,0.398207902908325,0.0320556648075581,0
71028597,51.1770042774213,-115.613003360831,0.429949551820755,0.000916135963052511,0,0,0.0991695076227188,0.105201907455921,0,0,0.211616039276123,0.0464473553001881,0.106699459254742,0
71028609,51.1726656568571,-115.649825687632,0.616913974285126,0,0,0,0.0152279986068606,0.0690230280160904,0.00024028931511566,0,0.2623091340065,0.00708584534004331,0.0291997510939837,0
71028676,51.1948847202864,-115.754929153741,0.545925974845886,4.49529434263241e-05,0,0,0.0293809827417135,0.120877899229527,0.000149843137478456,0,0.266650438308716,0.0169154033064842,0.0200544521212578,0
71028700,51.2315339360023,-115.839235184388,0.797610521316528,0,0,0,0.0154892019927502,0.0403416007757187,0,0,0.0778019353747368,0.0476537197828293,0.0211030356585979,0
71028740,51.2677974498147,-115.895695485483,0.734719157218933,0,0,0,0.0171925611793995,0.0461223386228085,0,0,0.170006558299065,0.0174501482397318,0.0145092271268368,0
71028757,51.2390418170879,-114.733857927196,0.143718406558037,0,0,0.00815354287624359,0.383370131254196,0.336269974708557,0,0.00160842761397362,0.000903282896615565,0.041357260197401,0.0846189558506012,0
71028833,51.2746661083477,-114.818822708355,0.493223875761032,0,0,0.00673777284100652,0.330217033624649,0.124113276600838,0.000389756023650989,0.0101844938471913,0.00118621392175555,0.0275714639574289,0.00637608440592885,0
71028852,51.3087116671424,-116.018158397552,0.754442512989044,0,0,0,0.00910229329019785,0.0277530681341887,0,0,0.173496767878532,0.0219159368425608,0.0130907483398914,0.000198668974917382
71028904,51.3510146966855,-116.10112398374,0.85115247964859,0,0,0,0.0118903107941151,0.015643909573555,0,0,0.0925303772091866,0.0197803862392902,0.00900252535939217,0
71028957,51.3917951569064,-116.124330985915,0.858220040798187,0,0,0,0.00644567096605897,0.0324557088315487,0,0,0.0618705227971077,0.025811456143856,0.015196654945612,0
71028968,51.2637809196346,-114.928805467173,0.485771298408508,0,0.000239816319663078,0.00465641543269157,0.324934601783752,0.142015218734741,0.000633800285868347,0.000188427104149014,0.00822971016168594,0.0250782836228609,0.00825237948447466,0
